Cell name	numeric_P(Erythroid)	numeric_P(Granulocyte)	numeric_P(Lymphoid)	numeric_P(Dendritic cell)	numeric_P(Megakaryocyte)	numeric_P(Monocyte)	numeric_P(Basophil/Mast cell)	numeric_Total counts	numeric_Uniform	Louvain cluster	Library	Prep Batch	numeric_x	numeric_y
cell_3131	2.4485e-06	3.7445999999999997e-06	0.99979	0.00019945	3.8256999999999996e-07	2.3887e-06	4.1674e-07	1781.0	0.0	10	3	4	416.25588	-1.03341
cell_3143	3.5484e-07	2.1273000000000003e-07	0.99998	2.3854000000000002e-05	2.9978e-08	1.3961e-07	3.1196000000000004e-08	1947.0	0.0	10	3	4	415.4418	9.78549
cell_3154	1.1252000000000001e-13	2.0331e-12	1.9917999999999997e-11	1.0	8.9809e-14	7.8903e-12	4.9317e-14	1455.0	0.0	11	3	4	495.62562	-87.20561
cell_3162	1.5577000000000001e-06	2.3233000000000003e-06	0.99982	0.00017058	2.3343000000000005e-07	1.5465000000000001e-06	2.5539999999999997e-07	1983.0	0.0	10	3	4	421.67409000000004	6.423019999999999
cell_3170	1.5405999999999998e-05	2.9798e-05	0.9993	0.00063192	2.2231e-06	1.7705e-05	2.4653e-06	1828.0	0.0	10	3	4	423.16625999999997	-10.229280000000001
cell_3171	2.0666000000000001e-10	5.503399999999999e-09	5.135100000000001e-08	1.0	7.531999999999999e-11	1.7654e-08	7.745799999999999e-11	1772.0	0.0	11	3	4	483.19608	-99.42684
cell_3173	7.931999999999999e-15	1.0	2.2206e-16	6.3544e-17	0.0	7.7856e-17	0.0	2018.0	0.0	3	3	4	555.71115	-893.03399
cell_3175	1.0	2.6841999999999997e-15	3.2427999999999997e-16	1.9267e-16	4.4324e-17	8.6227e-16	2.1490999999999998e-16	1490.0	0.0	8	3	4	71.93621999999999	-871.9720599999999
cell_3182	8.8056e-06	1.5165e-05	0.9993	0.00066462	1.3563999999999998e-06	9.6846e-06	1.5028e-06	2058.0	0.0	10	3	4	423.36555999999996	-1.32015
cell_3188	1.0	4.0253e-15	0.0	1.0469999999999999e-16	8.1784e-17	1.452e-16	9.055e-16	1563.0	0.0	8	3	4	84.00285	-882.0518400000001
cell_3192	8.3573e-06	1.3087e-05	0.99875	0.00122	1.2443999999999999e-06	7.7867e-06	1.3496000000000002e-06	1722.0	0.0	10	3	4	421.29665	-2.2079400000000002
cell_3195	1.0	7.360500000000001e-15	2.3274e-15	5.4633e-16	7.991e-16	5.038e-15	3.6827e-18	1371.0	0.0	8	3	4	84.37888000000001	-880.35654
cell_3198	1.0	1.1952e-14	3.6274e-17	1.1849e-15	7.9763e-16	7.5604e-15	8.612e-18	1493.0	0.0	8	3	4	81.88203	-878.42474
cell_3205	9.2635e-06	1.6691e-05	0.99924	0.00072068	1.5219999999999998e-06	1.2465e-05	1.6444999999999999e-06	1609.0	0.0	10	3	4	424.37268	-2.37482
cell_3210	0.00057106	0.0094644	0.0021334	0.016558	0.00015729	0.9708700000000001	0.00024832	1939.0	0.0	2	3	4	599.8190900000001	-167.94361999999998
cell_3213	1.0	1.9332999999999997e-15	1.7207999999999999e-15	4.6988e-15	2.1192e-15	3.9114000000000004e-15	1.3929e-15	1513.0	0.0	8	3	4	69.63171	-868.71516
cell_3215	0.10008	0.051597000000000004	0.044253	0.12936	0.5663	0.041052	0.067354	1537.0	0.0	6	3	4	322.13604	2.3433
cell_3217	3.2672000000000002e-06	2.7867000000000004e-06	0.99982	0.00017554	3.1374e-07	1.6671999999999999e-06	3.3671e-07	1920.0	0.0	10	3	4	415.61495	0.55448
cell_3219	8.921799999999999e-07	1.3135e-06	0.9999600000000001	3.5398e-05	1.1064e-07	7.023899999999999e-07	1.3162e-07	1544.0	0.0	10	3	4	419.23521	-1.3484200000000002
cell_3234	6.161999999999999e-17	1.0	1.6532e-15	1.1164000000000002e-15	7.414500000000001e-17	4.0944e-16	0.0	2017.0	0.0	3	3	4	562.97112	-883.0930099999999
cell_3239	2.4313e-09	1.5406e-08	5.6109e-08	1.0	4.7273e-10	2.5066999999999995e-07	6.2747e-10	1886.0	0.0	11	3	4	478.07675	-105.06098999999999
cell_3241	8.4272e-07	1.2395e-06	0.9998100000000001	0.00018397	1.4220000000000002e-07	1.0504000000000001e-06	1.6118e-07	1677.0	0.0	10	3	4	424.25856	6.98447
cell_3242	4.1557e-06	7.1145e-06	0.99954	0.00044308	6.016300000000001e-07	4.6229e-06	6.6892e-07	1687.0	0.0	10	3	4	426.5069	5.2795
cell_3245	0.075725	0.038245	0.034913	0.12009	0.65088	0.030816000000000003	0.049333999999999996	1744.0	0.0	6	3	4	318.47297000000003	57.776869999999995
cell_3246	9.6025e-06	1.8625999999999998e-05	0.9993200000000001	0.0006374	1.6061000000000002e-06	1.0747e-05	1.7791e-06	1507.0	0.0	10	3	4	422.52055	-2.7524
cell_3252	8.9825e-16	1.0	3.7672e-17	8.6588e-18	0.0	0.0	0.0	2016.0	0.0	3	3	4	559.4672099999999	-888.7427
cell_3253	4.8757e-06	9.4808e-06	0.99965	0.00032863	7.899600000000001e-07	5.277100000000001e-06	8.7201e-07	1775.0	0.0	10	3	4	420.29571	-0.02875
cell_3256	0.0026736	0.11567999999999999	0.005557899999999999	0.048022	0.00088843	0.8259	0.0012812000000000001	1718.0	0.0	2	3	4	584.03312	-184.29391999999999
cell_3259	0.00037959	0.0046755	0.00057756	0.014925999999999998	0.00010067	0.9792	0.00013663	1652.0	0.0	2	3	4	603.20218	-159.67776
cell_3275	8.1311e-06	1.4669000000000001e-05	0.99841	0.0015562999999999998	1.4615000000000001e-06	1.1592999999999999e-05	1.5954e-06	1562.0	0.0	10	3	4	424.5995	-3.40671
cell_3279	1.0	2.1850000000000002e-15	1.0921e-15	1.1804e-16	3.9313e-16	2.6381e-15	2.3580999999999998e-17	1319.0	0.0	8	3	4	83.27702	-878.64666
cell_3281	1.1575999999999998e-13	2.1014e-12	2.0625e-11	1.0	9.4699e-14	8.3223e-12	5.1925e-14	1451.0	0.0	11	3	4	496.39772999999997	-85.59604
cell_3285	0.051307000000000005	0.068238	0.012499	0.017335	0.016856	0.015889	0.81788	1591.0	0.0	6	3	4	200.17693	-0.02394
cell_3289	4.6635999999999995e-16	1.0	2.6745e-17	4.7541e-18	0.0	4.3876e-16	0.0	1767.0	0.0	3	3	4	561.8067599999999	-883.1360900000001
cell_3293	0.085262	0.043515	0.038632	0.11999000000000001	0.62173	0.034868	0.05600499999999999	1491.0	0.0	6	3	4	320.42455	28.81165
cell_3296	1.9833e-06	3.2105e-06	0.9995	0.00049644	3.4080999999999994e-07	2.2256e-06	3.8063000000000004e-07	1365.0	0.0	10	3	4	424.03629000000006	7.79847
cell_3313	3.2294e-06	5.4011e-06	0.99945	0.00053596	4.9521e-07	3.5177999999999996e-06	5.688399999999999e-07	1482.0	0.0	10	3	4	425.96432999999996	4.23493
cell_3325	6.9457e-10	4.8459000000000004e-08	1.156e-07	1.0	3.5312999999999995e-10	4.6403999999999997e-08	3.3981999999999997e-10	1410.0	0.0	11	3	4	480.70297999999997	-103.95506
cell_3329	1.1953e-15	1.0	3.2874000000000005e-17	0.0	0.0	0.0	0.0	1582.0	0.0	3	3	4	555.15497	-890.4626099999999
cell_3334	1.6013e-07	1.3573e-07	0.99998	1.5944000000000002e-05	1.6719e-08	9.291700000000001e-08	1.7857e-08	1622.0	0.0	10	3	4	423.07667000000004	18.16691
cell_3341	1.4169e-13	2.3722e-12	2.816e-11	1.0	2.3758000000000003e-13	5.8835e-12	7.1425e-14	1203.0	0.0	11	3	4	492.97410999999994	-87.28962
cell_3344	1.0	4.6808e-15	1.4818e-15	6.2279e-16	3.5032999999999997e-16	4.5873999999999996e-15	5.82e-18	1098.0	0.0	8	3	4	81.37276999999999	-880.77864
cell_3350	0.0028383	0.11682999999999999	0.005730600000000001	0.038807	0.0010059	0.83336	0.0014212	1581.0	0.0	2	3	4	586.00454	-182.10368
cell_3353	0.044699	0.051927	0.011109	0.01546	0.015392	0.013791999999999999	0.84762	1047.0	0.0	6	3	4	207.35009	-6.27433
cell_3358	1.5109e-06	7.5015e-07	0.9999	9.379700000000001e-05	1.1208000000000001e-07	4.9449e-07	1.1557000000000001e-07	1313.0	0.0	10	3	4	414.86674	7.083480000000001
